./eq/Add            : equiv,0.1518   ; equiv,0.0080   ; unknown,0.0000   ; equiv,0.0808  
./eq/Const          : equiv,0.1241   ; equiv,0.0250   ; unknown,0.0000   ; equiv,0.0818  
./eq/LoopMult10     : equiv,1.3320   ; equiv,0.2890   ; unknown,0.0000   ; equiv,0.2991  
./eq/LoopMult15     : equiv,1.4448   ; equiv,0.6470   ; unknown,0.0000   ; equiv,0.3361  
./eq/LoopMult2      : equiv,0.9464   ; equiv,0.0670   ; unknown,0.0000   ; equiv,0.0809  
./eq/LoopMult20     : equiv,1.5959   ; equiv,1.3920   ; unknown,0.0000   ; equiv,0.4036  
./eq/LoopMult5      : equiv,1.1474   ; equiv,0.1300   ; unknown,0.0000   ; equiv,0.2042  
./eq/LoopUnreach10  : equiv,1.0267   ; equiv,0.0510   ; unknown,0.0000   ; equiv,0.1284  
./eq/LoopUnreach15  : equiv,0.9720   ; equiv,0.0490   ; unknown,0.0000   ; equiv,0.1280  
./eq/LoopUnreach2   : equiv,0.8646   ; equiv,0.0390   ; unknown,0.0000   ; equiv,0.0806  
./eq/LoopUnreach20  : equiv,1.0544   ; equiv,0.0500   ; unknown,0.0000   ; equiv,0.1279  
./eq/LoopUnreach5   : equiv,0.9753   ; equiv,0.0490   ; unknown,0.0000   ; equiv,0.1282  
./eq/UnchLoop       : equiv,40.2673  ; equiv,0.1110   ; unknown,0.0000   ; equiv,0.1059  
./eq/divide         : equiv,0.1523   ; timeout,200.0000 ; unknown,0.0000   ; equiv,0.1275  
./eq/getSign2       : equiv,0.8858   ; equiv,0.0180   ; unknown,0.0000   ; equiv,0.1370  
./eq/is_prime1      : equiv,0.7181   ; unknown,0.0000   ; unknown,0.0000   ; equiv,0.0883  
./eq/is_prime2      : equiv,0.7455   ; unknown,0.0000   ; unknown,0.0000   ; equiv,0.6177  
./eq/is_prime3      : equiv,0.7702   ; unknown,0.0000   ; unknown,0.0000   ; equiv,0.7150  
./eq/ltfive         : not equiv,0.4511   ; equiv,0.7340   ; unknown,0.0000   ; not equiv,0.2164  
./eq/ltfiveBound    : equiv,1.0854   ; equiv,0.1280   ; unknown,0.0000   ; equiv,0.1859  
./eq/multiple       : not equiv,0.4629   ; equiv,0.0550   ; unknown,0.0000   ; not equiv,0.2291  
./eq/multipleBound  : equiv,1.0547   ; equiv,0.0830   ; unknown,0.0000   ; equiv,0.3132  
./eq/odd            : equiv,12.2472  ; timeout,200.0000 ; unknown,0.0000   ; timeout,200.0000
./eq/one            : not equiv,0.3571   ; equiv,0.0380   ; unknown,0.0000   ; not equiv,0.1653  
./eq/oneBound       : equiv,1.6419   ; equiv,0.0660   ; unknown,0.0000   ; equiv,0.1931  
./eq/oneN2          : not equiv,1.1663   ; equiv,0.0400   ; unknown,0.0000   ; not equiv,0.1767  
./eq/pos            : equiv,11.2349  ; timeout,200.0000 ; unknown,0.0000   ; timeout,200.0000
./eq/pos2           : equiv,11.3283  ; timeout,200.0000 ; unknown,0.0000   ; timeout,200.0000
./eq/pos3           : not equiv,1.0774   ; equiv,0.0550   ; unknown,0.0000   ; equiv,0.1046  
./extras/prime_sum  : equiv,49.0193  ; not equiv,0.7170   ; unknown,0.0000   ; timeout,200.0000
./neq/LoopMult10    : not equiv,1.6664   ; not equiv,0.2140   ; unknown,0.0000   ; not equiv,0.2162  
./neq/LoopMult15    : not equiv,1.8965   ; not equiv,0.3110   ; unknown,0.0000   ; not equiv,0.2790  
./neq/LoopMult2     : not equiv,1.5547   ; not equiv,0.0710   ; unknown,0.0000   ; not equiv,0.0973  
./neq/LoopMult20    : not equiv,2.1523   ; not equiv,0.4840   ; unknown,0.0000   ; not equiv,0.3426  
./neq/LoopMult5     : not equiv,1.4153   ; not equiv,0.1250   ; unknown,0.0000   ; not equiv,0.1812  
./neq/LoopUnreach10 : not equiv,0.3627   ; not equiv,0.0630   ; unknown,0.0000   ; not equiv,0.1300  
./neq/LoopUnreach15 : not equiv,0.3630   ; not equiv,0.0630   ; unknown,0.0000   ; not equiv,0.1308  
./neq/LoopUnreach2  : not equiv,0.3434   ; not equiv,0.0510   ; unknown,0.0000   ; not equiv,0.0966  
./neq/LoopUnreach20 : not equiv,0.3625   ; not equiv,0.0630   ; unknown,0.0000   ; not equiv,0.1319  
./neq/LoopUnreach5  : not equiv,0.3603   ; not equiv,0.0630   ; unknown,0.0000   ; not equiv,0.1316  
./neq/getSign       : not equiv,0.3430   ; not equiv,0.0120   ; unknown,0.0000   ; not equiv,0.1264  
